churn,months,totcalls,totmou,d0alband
1,61,1652,4228,1
0,56,14654,26400,0
1,58,7903,24385.05333,0
0,60,1502,3065,0
0,57,4485,14028,1
0,59,26812,40869,0
1,53,6279,17390.03333,1
0,53,4491,12492,1
0,55,16730,43231.05333,1
0,57,391,994,1
0,59,2392,6868.11,1
0,53,3207,5579.136667,0
0,55,31584,51857.07,1
0,53,400,642,1
0,59,33184,69161.08333,1
0,55,7586,15226.03,1
0,57,4078,11330,0
0,59,7043,12661,0
0,52,8468,23835,1
0,56,1319,4531.016667,1
1,58,28477,79406.01667,1
1,54,79038,117808.04,0
1,52,27530,64174.80667,1
1,54,5145,10451.09667,1
0,52,4761,14984,1
0,54,2048,3896,1
1,52,13600,30020.16,0
0,58,8893,16916,1
1,56,17915,42715,1
0,52,3745,6020,1
1,58,3195,8864.016667,1
0,54,1665,3256,0
0,52,4178,9279,1
0,58,657,1522,1
0,56,3897,6246.02,1
0,54,22974,55673.23,1
0,56,2139,3827,1
1,52,1226,3109,0
1,58,9655,16089.60333,1
1,54,3599,5970.016667,1
0,57,5676,13430,1
0,53,2858,4832,1
1,51,5987,19426,1
1,55,318,1370,0
1,57,3683,8471,0
1,55,11193,35976.01667,0
1,51,2908,4672,0
1,53,14937,32772,0
1,55,5104,9615,1
1,57,18690,52365.07667,1
1,51,5742,19818.04,1
1,53,4186,6269.126667,0
1,51,2103,4640,1
0,55,9700,25170.02,0
1,55,5052,7942,0
1,53,11923,21968.11667,0
1,55,11822,35711,0
0,50,208,481,0
1,55,3794,8925.07,1
0,53,3604,10721,0
1,50,3709,5037,1
0,50,6008,12776,0
0,50,7714,14451,1
0,52,50971,120185.5167,1
0,54,4680,14131.01667,1
0,50,27916,58808.64333,1
1,54,20309,48234.07,1
1,56,46322,93239,0
1,56,5930,13075,0
1,54,14080,24958.11333,1
0,50,17767,37287.02,0
1,50,3931,16488.01667,1
0,56,666,1002,0
0,54,36495,80944,0
0,50,35647,73746.97,1
0,52,14444,39416.08667,0
1,56,15804,51246.21333,0
0,54,636,799,0
1,52,1194,2184,1
1,56,10464,37396,1
0,52,12566,23282,1
1,56,13929,29101,0
0,54,82054,159001.3467,1
0,54,9288,33739,1
0,56,23248,56408.07333,1
0,50,48462,87509.44667,0
0,56,13715,35938.10333,1
0,52,5541,25371,1
0,50,26957,47486.04,1
1,56,1693,4909,1
0,50,8530,14851.02,0
0,50,11530,20402.21667,0
0,52,23298,88248,0
0,52,2987,18586,1
0,56,12808,43342,1
0,52,554,787,0
0,54,2144,4951,1
1,52,26723,58683.05,1
0,56,13174,39348,1
0,54,13749,46945.17,1
1,56,2592,14390.01667,1
0,50,25904,73379.10333,1
1,54,11950,18363,0
1,54,18841,41961,1
0,52,1663,3441,1
0,56,7025,16386,0
1,54,4344,29840,0
1,50,11021,21669.11333,0
0,54,18036,50507.02,1
1,52,30811,67742.45,0
0,54,92076,155186,1
1,52,6417,13275.05333,0
0,50,931,3118,0
1,50,21647,38143.03333,1
0,52,39755,95177.01667,1
1,56,3361,10712,1
0,52,878,2607,1
0,54,35934,75351.91667,1
0,54,33075,54202.03,1
1,50,239,765,1
0,54,1660,9703,0
0,56,40188,99927.12,1
1,50,22095,70407.48,1
1,54,46979,121258.25,1
0,52,5620,12061,1
0,56,10759,18695,1
0,54,4156,7679,0
0,50,52296,114237.7667,0
0,52,28061,72377.03333,1
1,56,4468,16466,1
1,52,34960,61987.22,1
1,52,7621,19175,1
0,54,9553,20980.03667,1
1,52,7299,14648,0
0,49,17506,33967.03333,1
0,56,572,1057,1
0,49,4529,8377.036667,1
1,49,4152,6525.75,1
0,49,32995,82835.24,1
1,53,20008,48539.06333,0
1,55,901,1997,0
0,49,11950,27570.02,1
0,53,56029,126950.6833,1
1,55,19297,32950.25333,1
1,51,15848,30841.09333,0
1,51,18446,39884.29,1
0,51,4090,10895,0
1,53,26791,59100,0
1,55,17151,54187.15,0
0,49,19531,54176.61667,1
0,51,1067,1931,0
1,53,3416,8373.163333,1
0,49,11651,27964.18667,1
0,55,29114,77792.05,1
1,49,2820,4322,1
1,53,37445,62631,1
0,53,2438,7736,1
0,51,10231,28202,0
1,51,38175,60027.15667,0
0,51,2705,10130,0
1,55,1051,1806,0
0,55,26839,73420.04,1
1,49,10370,39548.23,1
0,49,2793,4907,1
1,51,20057,62951.03333,1
1,53,4638,14626.01667,1
0,51,581,1742,1
1,51,20235,71967.37,1
0,51,3834,5880,1
0,51,7236,14547,1
0,53,2420,5756.02,0
0,49,15674,22650,0
1,51,12670,25588.10667,1
1,51,16223,42351.05,0
0,49,478,831,0
0,53,28062,91200.08667,1
0,53,6889,16377,1
1,55,56824,98938,1
1,51,42111,107547.05,1
1,53,33194,78886.78667,0
0,49,12623,29886.03667,1
1,51,17183,41620.65667,1
1,51,7864,23412,1
1,49,15289,32015.03667,1
0,53,1842,3295,1
1,53,13157,35779.49,1
0,51,1577,3059,1
