ID,CODE_GENDER,FLAG_OW0_CAR,FLAG_OW0_REALIT1,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,Months,Risk,New_Status
5008804,0,1,1,0,427500,5,2,1,5,-12005,-4542,1,1,0,16,1,0
5008805,0,1,1,0,427500,5,2,1,5,-12005,-4542,1,1,0,15,1,0
5008806,0,1,1,0,112500,5,5,2,2,-21474,-1134,1,0,0,30,16,0
5008808,1,0,1,0,270000,1,5,4,2,-19110,-3051,1,0,1,5,3,0
5008809,1,0,1,0,270000,1,5,4,2,-19110,-3051,1,0,1,5,5,1
5008810,1,0,1,0,270000,1,5,4,2,-19110,-3051,1,0,1,27,6,0
5008811,1,0,1,0,270000,1,5,4,2,-19110,-3051,1,0,1,39,6,0
5008812,1,0,1,0,283500,2,2,3,2,-22464,365243,1,0,0,17,3,0
5008813,1,0,1,0,283500,2,2,3,2,-22464,365243,1,0,0,17,3,0
5008814,1,0,1,0,283500,2,2,3,2,-22464,365243,1,0,0,17,3,0
5008815,0,1,1,0,270000,5,2,2,2,-16872,-769,1,1,1,6,0,0
5008819,0,1,1,0,135000,1,5,2,2,-17778,-1194,1,0,0,8,8,1
5008820,0,1,1,0,135000,1,5,2,2,-17778,-1194,1,0,0,9,8,1
5008821,0,1,1,0,135000,1,5,2,2,-17778,-1194,1,0,0,9,3,1
5008822,0,1,1,0,135000,1,5,2,2,-17778,-1194,1,0,0,9,8,1
5008823,0,1,1,0,135000,1,5,2,2,-17778,-1194,1,0,0,5,1,1
5008824,0,1,1,0,135000,1,5,2,2,-17778,-1194,1,0,0,4,0,0
5008825,1,1,0,0,130500,5,3,2,2,-10669,-1103,1,0,0,26,0,0
5008826,1,1,0,0,130500,5,3,2,2,-10669,-1103,1,0,0,30,0,0
5008827,0,1,1,0,180000,2,2,2,2,-18772,365243,1,0,0,38,0,0
5008830,1,0,1,0,157500,5,5,2,2,-10031,-1469,1,0,0,32,1,0
5008831,1,0,1,0,157500,5,5,2,2,-10031,-1469,1,0,0,20,1,0
5008832,1,0,1,0,157500,5,5,2,2,-10031,-1469,1,0,0,35,1,0
5008834,1,0,1,1,112500,5,5,4,2,-10968,-1620,1,0,0,45,0,0
5008835,1,0,1,1,112500,5,5,4,2,-10968,-1620,1,0,0,17,14,1
5008836,0,1,1,3,270000,5,5,2,2,-12689,-1163,1,0,0,17,0,0
5008837,0,1,1,3,270000,5,5,2,2,-12689,-1163,1,0,0,17,0,0
5008838,0,0,1,1,405000,1,2,2,2,-11842,-2016,1,0,0,31,2,1
5008839,0,0,1,1,405000,1,2,2,2,-11842,-2016,1,0,0,14,0,0
5008840,0,0,1,1,405000,1,2,2,2,-11842,-2016,1,0,0,56,0,0
5008841,0,0,1,1,405000,1,2,2,2,-11842,-2016,1,0,0,5,1,0
5008842,0,0,1,1,405000,1,2,2,2,-11842,-2016,1,0,0,9,0,0
5008843,0,0,1,1,405000,1,2,2,2,-11842,-2016,1,0,0,30,0,0
5008844,0,1,1,0,112500,1,5,2,2,-20502,-4450,1,0,0,33,0,0
5008846,0,1,1,0,112500,1,5,2,2,-20502,-4450,1,0,0,12,0,0
5008847,0,1,1,0,112500,1,5,2,2,-20502,-4450,1,0,0,33,0,0
5008849,0,1,1,0,112500,1,5,2,2,-20502,-4450,1,0,0,12,1,0
5008850,0,1,1,0,112500,1,5,2,2,-20502,-4450,1,0,0,26,0,0
5008851,0,1,1,0,112500,1,5,2,2,-20502,-4450,1,0,0,12,0,0
