age,job,marital,education,default,housing,y
30,1,1,1,1,2,1
39,8,2,4,1,1,1
25,8,1,4,1,2,1
38,8,1,1,1,0,1
47,2,1,7,1,2,1
32,8,2,7,1,1,1
32,2,2,7,1,2,1
41,3,1,7,0,2,1
31,8,3,6,1,1,1
35,1,1,1,0,1,1
25,8,2,3,0,2,1
36,7,2,2,1,1,1
36,2,1,4,1,1,1
47,1,1,2,1,2,1
29,2,2,4,1,1,1
27,8,2,7,1,1,1
44,2,3,7,1,1,1
46,2,3,7,1,2,1
45,3,1,7,0,2,1
50,1,1,2,1,1,2
55,8,1,3,0,2,1
39,10,3,4,1,1,2
29,10,2,7,1,2,1
40,5,1,4,1,1,1
44,10,1,6,0,2,1
38,10,1,6,1,2,2
36,10,3,6,1,1,1
28,1,1,3,0,1,1
47,2,2,0,0,1,1
34,2,1,7,1,1,1
38,10,1,7,1,2,1
33,8,1,4,0,2,1
51,10,2,7,1,1,1
30,1,2,2,0,2,1
48,10,1,7,1,1,1
28,1,2,1,1,2,1
36,1,1,3,1,2,1
46,5,3,4,1,1,1
31,10,2,0,1,2,1
20,9,2,0,1,1,1
35,8,1,4,0,2,1
38,1,1,1,0,0,1
76,6,1,7,1,1,1
45,3,3,6,1,2,1
32,4,1,2,1,2,1
39,5,2,7,0,1,1
32,2,1,7,1,1,1
29,2,2,1,1,1,1
44,8,1,6,1,1,1
32,8,1,4,1,1,1
56,6,1,7,1,2,1
33,1,1,1,1,2,1
39,5,1,4,1,1,1
24,10,1,7,1,2,2
33,2,2,7,1,2,1
58,3,3,7,1,1,1
29,2,2,7,1,2,1
31,2,1,7,1,2,1
27,2,1,7,1,1,1
60,2,3,6,1,2,2
55,3,1,6,1,2,1
37,1,1,1,1,2,1
52,2,1,0,1,2,2
46,8,1,4,1,2,1
42,1,3,3,1,2,1
35,2,2,7,1,2,1
49,10,3,0,1,2,1
29,8,3,4,1,1,1
32,1,1,1,1,1,2
37,7,1,7,1,1,1
39,10,2,6,0,1,2
51,8,1,4,0,2,2
28,2,2,4,1,2,1
34,5,1,7,1,2,1
31,10,2,4,1,2,2
31,2,1,7,1,2,1
31,2,2,7,1,2,1
38,7,2,7,1,1,1
33,11,1,1,1,1,1
32,10,2,7,1,1,1
54,10,1,6,0,2,1
41,2,3,4,1,2,1
59,8,1,2,0,1,1
57,6,1,7,1,2,1
38,3,3,7,1,2,1
46,2,1,7,1,2,1
37,11,2,7,1,2,1
47,8,2,1,1,0,2
45,2,2,7,1,1,2
36,1,1,3,1,2,1
40,11,2,4,1,2,1
38,1,1,1,1,1,1
44,1,1,4,0,1,1
25,7,1,7,1,2,1
30,1,2,3,1,2,1
43,5,1,6,1,1,1
58,6,1,3,0,1,1
31,10,1,6,1,2,1
53,5,1,7,1,1,1
52,2,1,0,1,1,1
37,5,1,7,0,1,1
58,2,1,4,0,2,1
37,8,1,4,1,2,1
38,2,2,0,1,2,1
33,8,2,1,1,2,1
45,8,1,4,0,2,1
44,3,1,6,1,1,1
38,1,1,3,1,2,1
34,1,1,1,1,1,1
47,5,1,7,1,2,1
59,2,1,7,1,2,1
51,1,1,2,0,2,1
31,1,1,3,1,2,1
56,5,1,7,1,2,1
39,2,1,7,1,1,1
41,3,1,7,1,2,2
41,5,3,3,1,2,1
53,8,1,4,0,1,1
35,1,1,4,1,1,1
58,6,1,1,1,1,1
25,7,1,6,1,2,1
35,1,3,1,1,2,1
28,8,2,4,1,1,1
55,1,1,6,1,2,1
54,3,1,2,0,1,1
45,10,3,1,0,1,1
32,1,1,1,1,2,1
50,2,1,1,0,2,1
75,6,1,2,1,1,2
33,7,3,0,1,1,1
29,5,1,7,1,1,1
45,5,1,7,1,2,1
38,2,3,7,1,1,2
24,8,2,6,1,2,1
41,10,1,6,1,2,1
58,6,3,4,1,2,2
34,2,1,7,1,1,1
34,2,1,7,1,1,1
37,10,3,6,1,1,1
53,1,3,2,1,1,2
54,10,3,6,1,2,1
32,10,3,6,1,2,1
42,2,1,4,1,2,1
28,10,2,6,1,2,2
33,8,2,4,1,2,1
41,1,1,1,1,2,1
31,8,1,4,1,1,1
40,10,1,1,0,1,1
53,0,1,1,1,1,1
40,2,3,7,1,2,1
82,4,1,2,1,1,2
28,1,1,2,1,2,1
30,2,1,4,0,2,1
31,11,2,7,1,2,2
32,10,2,7,1,2,1
54,1,1,2,1,2,1
31,1,1,1,1,1,1
50,8,1,0,1,2,1
47,10,2,0,1,1,1
31,2,2,4,1,2,1
32,11,1,4,1,2,1
46,2,2,4,1,2,1
47,2,2,4,1,1,1
32,2,2,4,1,1,1
52,8,3,4,0,1,1
45,2,1,4,1,2,2
32,2,1,7,1,2,1
71,1,3,2,0,1,1
49,8,1,4,1,2,1
46,2,1,4,1,2,1
46,1,1,6,1,1,1
38,2,1,7,1,2,1
57,8,1,6,0,1,1
41,8,2,4,0,0,1
44,10,1,6,1,1,1
47,10,1,7,1,2,1
40,1,1,1,1,2,1
57,6,2,6,1,2,1
27,2,2,0,1,1,2
52,1,1,1,1,1,2
34,5,1,7,1,2,1
42,3,1,7,1,2,1
51,10,1,0,1,2,1
45,5,1,2,0,2,1
56,6,1,4,1,1,1
41,5,1,7,1,2,1
44,2,1,4,1,2,1
50,1,1,3,1,2,2
54,7,1,4,1,1,1
51,1,1,3,1,1,1
30,1,2,1,1,1,1
42,4,1,2,0,2,1
41,10,1,6,0,2,1
47,8,2,1,1,1,1
35,1,1,3,1,2,1
58,1,1,1,1,1,1
50,1,3,4,1,2,2
41,10,1,6,1,1,1
38,10,1,7,1,2,1
32,9,2,7,1,1,1
21,9,2,4,1,1,1
46,2,3,1,0,1,1
42,7,1,7,1,2,1
55,8,1,1,1,1,1
29,2,2,4,1,2,1
30,1,2,3,0,2,1
53,5,1,2,1,2,1
35,5,1,7,1,2,1
46,8,1,6,1,2,1
30,1,1,0,1,1,1
43,3,1,7,0,2,1
42,8,1,4,0,2,1
32,10,1,6,1,1,1
41,1,3,1,1,2,1
28,2,1,7,1,1,1
24,8,2,7,1,1,1
43,5,1,7,0,2,1
30,2,2,7,1,2,1
55,1,1,1,0,1,1
51,6,1,1,0,1,1
22,9,2,4,1,1,1
32,3,2,7,1,1,1
43,2,1,6,0,1,1
39,5,1,3,0,1,1
52,1,3,0,1,1,1
38,10,2,6,1,2,1
59,6,1,2,1,1,1
31,1,1,2,1,2,1
76,6,2,2,1,1,2
44,0,2,1,0,2,1
30,1,1,0,1,1,1
32,8,1,4,0,1,1
41,11,1,0,1,1,1
33,2,2,7,1,2,2
59,6,1,2,1,2,1
28,1,1,1,1,2,1
33,1,2,3,1,2,1
53,8,1,4,0,2,1
41,8,1,4,1,1,2
55,0,1,2,1,1,1
45,1,1,1,0,1,1
35,10,1,6,1,1,1
31,8,1,4,0,1,1
53,5,1,7,1,1,1
35,10,2,6,1,2,1
45,1,3,3,0,2,1
34,4,2,7,1,1,1
42,2,1,1,1,1,1
36,7,1,1,1,2,1
44,2,1,4,1,1,1
50,2,3,7,1,2,1
36,2,1,7,1,2,1
27,10,1,6,1,1,1
40,5,1,0,1,1,1
25,10,2,7,1,2,1
29,5,1,7,1,2,1
44,2,1,4,1,1,1
57,1,1,0,0,2,1
30,2,2,4,1,2,1
37,7,1,7,1,2,1
57,10,1,1,1,1,1
32,10,1,6,1,2,2
54,2,1,6,1,1,2
58,1,1,1,1,2,2
29,2,2,7,0,2,1
60,8,1,4,0,1,1
