Gender,Age,Tenure,NumOfProducts,HasCrCard,IsActiveMember,Exited
0,42,2,1,1,1,1
0,41,1,1,0,1,0
0,42,8,3,1,0,1
0,39,1,2,0,0,0
0,43,2,1,1,1,0
1,44,8,2,1,0,1
1,50,7,2,1,1,0
0,29,4,4,1,0,1
1,44,4,2,0,1,0
1,27,2,1,1,1,0
1,31,6,2,0,0,0
1,24,3,2,1,0,0
0,34,10,2,1,0,0
0,25,5,2,0,0,0
0,35,7,2,1,1,0
1,45,3,2,0,1,0
1,58,1,1,1,0,1
0,24,9,2,1,1,0
1,45,6,1,0,0,0
0,24,6,2,1,1,0
1,41,8,2,1,1,0
0,32,8,2,1,0,0
0,38,4,1,1,0,1
1,46,3,2,0,1,0
0,38,5,1,1,1,0
1,25,3,2,0,1,0
1,36,2,1,1,1,0
1,44,9,2,0,0,0
0,43,3,1,1,1,0
1,29,0,2,1,1,0
0,39,3,3,1,0,1
1,36,7,1,0,1,0
1,41,9,2,0,0,0
0,42,6,2,1,1,0
0,29,9,2,1,1,0
0,45,0,1,1,0,1
1,31,3,1,0,1,0
1,33,7,1,0,1,0
1,36,7,1,1,1,0
1,41,6,2,0,1,0
1,40,4,1,1,0,0
0,51,8,1,0,0,1
0,61,2,1,1,1,0
0,49,2,1,0,0,1
0,61,5,1,1,1,0
0,32,4,2,1,1,0
0,27,9,1,1,1,1
0,39,9,1,1,1,1
1,38,2,1,0,1,0
0,37,2,2,1,0,0
1,44,10,2,1,0,0
1,36,5,2,0,0,0
0,33,5,2,0,0,0
1,41,8,1,0,0,1
1,42,1,1,1,0,1
1,43,1,1,1,1,0
1,45,5,1,1,0,0
1,19,0,1,0,0,0
0,66,4,1,1,0,1
1,51,4,1,1,1,0
1,35,5,1,0,0,0
0,27,9,2,0,0,0
1,33,1,2,0,0,0
1,56,8,1,1,1,0
1,26,4,1,1,1,0
0,36,6,2,1,1,0
0,34,1,1,1,0,0
1,43,10,2,1,1,0
0,35,5,2,0,1,0
0,21,8,1,1,0,0
1,58,2,4,1,0,1
1,29,6,1,1,0,0
0,37,0,1,0,1,0
0,25,5,2,1,1,0
1,36,9,2,0,1,0
0,21,1,2,1,0,0
1,55,8,2,1,1,0
0,32,9,1,1,1,0
1,33,5,1,0,1,0
0,41,10,2,1,0,0
0,34,1,2,0,0,0
0,32,2,1,1,0,1
0,36,3,2,0,0,0
0,34,4,1,1,1,0
0,46,4,2,1,0,0
0,75,10,2,1,1,0
1,22,3,1,1,0,1
1,30,9,2,1,0,0
0,46,4,3,1,0,1
0,28,3,2,1,1,0
0,44,5,3,1,1,1
1,45,7,2,1,0,0
0,36,10,2,1,0,0
1,29,8,2,1,1,0
1,42,4,2,0,1,0
1,35,10,1,0,1,0
1,41,9,1,0,1,0
1,29,8,2,1,1,0
1,22,8,2,0,0,0
1,34,9,2,0,0,0
0,40,6,1,1,1,0
0,44,6,2,0,0,0
1,31,9,1,1,0,0
1,36,7,2,1,0,0
0,65,1,1,1,1,1
0,46,4,2,1,1,1
1,32,1,1,1,1,0
0,36,2,1,0,1,0
1,33,5,1,0,0,0
1,35,9,1,1,0,1
1,30,3,1,0,1,0
1,39,7,2,1,0,0
1,42,2,1,0,0,0
1,36,9,1,0,1,0
1,28,9,2,0,1,1
0,30,9,2,1,1,0
0,37,6,1,1,0,0
0,41,1,2,1,0,0
0,31,8,1,1,0,1
1,34,4,2,1,0,0
1,34,8,2,0,0,0
1,39,6,1,0,0,0
0,39,6,2,1,0,0
0,48,10,1,1,1,0
0,28,3,1,0,0,0
1,42,9,1,1,0,1
0,52,1,1,0,1,1
1,56,0,1,1,0,1
0,41,7,2,1,0,0
1,24,9,1,1,0,0
0,34,3,2,1,1,0
0,33,9,1,1,1,0
1,38,9,1,1,1,0
1,25,1,2,0,1,0
1,39,7,2,1,1,0
0,50,5,2,1,1,0
0,34,5,1,0,1,0
1,40,2,1,0,1,0
0,48,2,1,1,0,1
0,35,1,2,0,1,1
1,44,10,1,1,0,0
1,34,7,2,1,1,0
0,43,5,1,1,1,0
1,52,2,1,1,0,1
0,31,5,1,1,0,1
0,21,5,1,1,1,0
0,29,8,2,1,0,0
1,37,5,1,0,0,0
1,44,9,1,1,0,0
1,32,0,2,0,1,0
0,32,7,2,1,0,0
0,48,9,1,1,0,1
1,42,8,2,1,0,0
1,37,2,1,1,0,0
0,43,6,2,1,1,0
1,57,7,1,1,0,1
0,33,7,2,0,0,0
0,28,2,2,1,1,0
0,73,6,1,0,1,0
0,33,4,1,0,0,0
0,22,6,1,0,1,0
1,30,2,2,1,0,0
0,49,7,1,0,0,0
0,36,2,2,1,1,0
1,29,0,1,1,0,1
1,31,9,2,1,1,0
0,24,7,1,1,0,1
0,41,9,1,1,0,0
0,39,2,2,1,0,1
1,24,9,2,0,0,0
0,29,4,1,1,0,0
1,27,5,2,1,0,0
1,44,10,1,1,0,1
1,30,4,1,1,0,0
1,40,5,2,1,1,0
0,35,7,1,1,1,0
0,30,0,2,1,1,0
1,36,5,2,0,0,0
0,40,8,1,0,1,0
0,55,3,1,1,0,1
0,45,2,1,1,1,0
1,65,2,2,1,1,0
0,45,1,2,1,0,0
1,42,2,2,1,1,0
0,50,4,1,1,1,1
1,32,8,2,1,0,0
0,39,1,1,1,0,0
0,37,0,1,0,1,0
1,30,5,2,0,1,0
0,34,7,2,1,0,0
0,41,8,2,0,0,1
0,36,3,2,1,0,0
1,40,1,2,0,0,0
1,32,8,1,1,0,0
1,29,9,2,1,0,0
1,35,3,1,1,1,0
0,32,6,2,1,1,0
1,37,3,1,1,1,0
1,57,10,2,1,1,0
1,35,6,1,1,0,0
1,30,2,1,1,1,0
1,42,4,1,0,1,0
1,50,5,1,0,1,1
0,38,2,2,1,1,1
1,33,3,1,1,0,0
1,37,3,1,1,1,0
0,41,3,1,0,0,1
1,34,5,1,1,1,0
1,45,5,1,1,0,1
1,45,2,1,0,1,0
1,33,2,2,1,0,0
1,31,8,2,1,1,0
0,41,9,2,0,0,0
0,34,1,1,1,1,0
1,26,4,2,0,0,0
1,47,7,1,0,1,1
1,46,7,1,1,0,0
0,33,9,2,0,0,0
1,43,1,2,1,0,1
1,54,8,1,1,1,1
0,31,9,2,1,1,0
1,30,7,1,0,1,0
1,42,2,2,1,1,0
1,33,10,1,1,0,1
1,45,6,1,1,1,1
1,37,4,2,1,0,0
0,30,9,2,1,1,0
0,39,6,3,1,1,1
1,50,2,1,1,0,1
0,29,3,1,1,0,0
1,72,1,2,0,1,0
1,40,0,2,1,0,0
0,37,1,2,0,1,0
1,20,3,2,0,1,0
0,67,5,2,0,1,0
1,42,6,1,1,0,1
0,29,2,1,1,1,0
0,43,3,3,1,0,1
0,46,2,3,1,0,1
1,28,2,2,0,1,0
1,38,4,2,1,0,0
0,39,5,1,1,0,0
1,37,8,2,0,1,0
1,67,6,1,1,1,1
1,34,7,2,1,0,0
0,40,10,1,1,0,1
1,26,7,2,1,0,0
0,26,1,2,1,1,0
1,24,8,1,1,1,0
1,54,8,1,1,0,1
0,36,5,1,0,0,0
0,34,1,2,1,1,0
0,79,0,2,0,1,0
1,37,2,1,1,1,0
1,28,8,1,0,0,0
1,41,0,2,0,1,0
1,34,10,2,1,1,0
0,34,6,2,0,0,0
0,30,6,1,1,1,0
1,38,3,1,1,1,0
1,42,9,2,1,1,0
0,48,6,1,1,0,0
