ID,CODE_GENDER,DAYS_EMPLOYED,CNT_FAM_MEMBERS,Risk
5008804,1,177,2,0
5008805,1,177,2,0
5008806,1,231,2,0
5008808,0,314,1,1
5008809,0,314,1,0
5008810,0,314,1,0
5008811,0,314,1,0
5008812,0,122,1,1
5008813,0,122,1,1
5008814,0,122,1,1
5008815,1,365,2,1
5008819,1,171,2,0
5008820,1,171,2,0
5008821,1,171,2,0
5008822,1,171,2,0
5008823,1,171,2,0
5008824,1,171,2,1
5008825,0,262,2,1
5008826,0,262,2,0
5008827,1,122,2,0
5008830,0,104,2,0
5008831,0,104,2,0
5008832,0,104,2,0
5008834,0,255,2,0
5008835,0,255,2,0
5008836,1,202,5,0
5008837,1,202,5,0
5008838,1,349,3,0
5008839,1,349,3,0
5008840,1,349,3,0
5008841,1,349,3,1
5008842,1,349,3,1
5008843,1,349,3,0
5008844,1,85,2,0
5008846,1,85,2,1
5008847,1,85,2,0
5008849,1,85,2,0
5008850,1,85,2,1
5008851,1,85,2,1
5008852,1,85,2,1
5008853,1,85,2,0
5008854,0,192,4,1
5008855,0,192,4,0
5008856,0,192,4,1
5008857,0,192,4,0
5008858,0,192,4,0
5008859,0,192,4,1
5008860,0,192,4,1
5008861,0,192,4,1
5008862,0,192,4,1
5008863,0,192,4,1
5008864,0,192,4,1
5008865,0,192,4,1
5008866,0,192,4,1
5008867,0,192,4,0
5008868,0,266,3,1
5008870,0,266,3,1
5008872,1,1,2,1
5008873,0,365,4,0
5008874,0,365,4,0
5008875,0,365,4,0
5008876,0,365,4,0
5008877,0,365,4,0
5008878,0,365,4,0
5008879,0,365,4,0
5008880,0,365,4,0
5008881,0,365,4,0
5008882,0,365,4,0
5008884,0,122,1,0
5008888,0,18,1,0
5008889,0,18,1,1
5008890,0,18,1,0
5008891,0,131,1,0
5008892,0,131,1,0
5008893,0,131,1,0
5008894,0,131,1,0
5008895,0,131,1,0
5008896,0,131,1,0
5008897,0,131,1,0
5008898,0,131,1,0
5008899,0,131,1,0
5008900,0,131,1,0
5008901,0,131,1,0
5008902,0,131,1,0
5008903,0,131,1,0
5008904,0,131,1,0
5008905,0,131,1,0
5008906,0,131,1,0
5008907,0,131,1,0
5008908,0,131,1,0
5008909,0,131,1,0
5008910,0,131,1,0
5008911,0,131,1,0
5008912,0,131,1,0
5008913,0,131,1,0
5008914,0,131,1,0
5008915,0,131,1,0
5008916,0,131,1,0
5008917,0,131,1,0
5008918,0,131,1,0
5008919,0,131,1,0
5008920,0,131,1,0
5008921,0,131,1,0
5008922,0,131,1,0
5008923,0,131,1,0
5008924,0,131,1,0
5008925,0,131,1,0
5008926,0,131,1,1
5008927,0,131,1,0
5008928,0,131,1,0
5008929,0,131,1,0
5008930,0,131,1,1
5008931,0,131,1,0
5008932,0,131,1,1
5008933,0,131,1,0
5008934,0,131,1,0
5008935,0,131,1,0
5008936,0,131,1,0
5008937,0,131,1,0
5008938,0,131,1,0
5008939,0,131,1,0
5008940,0,131,1,0
5008941,0,131,1,0
5008942,0,365,2,0
5008943,0,365,2,0
5008944,0,365,2,0
5008945,0,365,2,0
5008946,0,365,2,0
5008947,1,43,2,0
5008948,1,43,2,0
5008949,1,43,2,0
5008950,1,43,2,0
5008951,1,365,3,0
5008952,1,365,3,0
5008953,1,365,3,0
5008954,1,365,3,1
5008955,0,347,2,1
5008956,0,347,2,0
5008957,0,347,2,0
5008958,0,347,2,1
5008959,0,347,2,0
5008960,0,347,2,0
5008962,0,347,2,0
5008963,0,347,2,0
5008966,1,365,2,1
5008967,1,365,2,1
5008971,1,365,2,1
5008973,1,365,2,1
5008974,0,122,2,1
5008975,0,122,2,0
5008976,0,122,2,1
5008977,0,122,2,1
5008978,0,122,2,0
5008979,0,122,2,0
5008980,0,122,2,0
5008981,1,16,2,0
5008983,1,16,2,0
5008984,1,16,2,0
5008986,1,16,2,0
5008987,1,16,2,0
5008988,1,16,2,0
5008991,0,171,1,0
5008992,0,171,1,0
5008993,0,171,1,1
5008994,0,171,1,1
5008995,0,171,1,0
5008998,0,365,2,0
5008999,0,365,2,0
5009000,1,365,2,0
5009001,1,89,2,0
5009002,1,89,2,0
5009005,1,89,2,0
5009006,1,89,2,0
5009007,1,89,2,0
5009008,1,89,2,0
5009009,1,89,2,0
5009010,1,89,2,0
5009012,1,89,2,1
5009014,1,89,2,0
5009016,0,253,4,0
5009018,0,253,4,0
5009019,0,253,4,1
5009020,0,253,4,0
5009022,0,253,4,0
5009023,0,253,4,0
5009024,0,253,4,0
5009025,0,253,4,0
5009027,0,365,2,1
5009028,0,365,2,0
5009029,0,365,2,0
5009031,0,171,1,0
5009032,0,171,1,0
5009033,0,122,2,0
5009034,0,122,2,0
5009035,0,122,2,0
5009036,0,122,2,0
5009037,0,122,2,0
5009038,0,122,2,0
5009039,0,190,3,0
5009040,0,190,3,0
