Cust_num,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,y
1897,57,self-employed,married,tertiary,yes,-3774,yes,yes,unknown,9,may,153,no
7757,49,management,divorced,tertiary,no,11918,yes,no,unknown,30,may,169,no
13709,49,entrepreneur,married,secondary,no,17264,no,yes,telephone,10,jul,317,no
35021,38,management,married,tertiary,no,14475,yes,no,cellular,6,may,82,no
11747,44,management,married,secondary,no,-3003,yes,no,unknown,20,jun,218,no
36241,44,management,married,tertiary,no,7906,yes,yes,cellular,11,may,257,no
37177,53,admin.,married,secondary,no,-4359,no,yes,cellular,13,may,82,no
14932,39,management,married,tertiary,yes,10257,yes,yes,cellular,16,jul,89,no
18460,47,housemaid,married,secondary,yes,10188,yes,no,cellular,31,jul,156,no
2171,47,entrepreneur,married,unknown,yes,10733,yes,no,unknown,12,may,379,no
21684,50,admin.,married,secondary,no,19209,no,no,cellular,19,aug,358,no
3799,45,blue-collar,married,secondary,no,17910,yes,no,unknown,16,may,172,no
14595,42,admin.,married,secondary,no,14954,yes,yes,cellular,15,jul,56,no
18240,35,technician,married,secondary,yes,6398,yes,no,cellular,30,jul,105,no
2933,42,admin.,married,secondary,yes,9853,no,no,unknown,14,may,89,no
35480,52,management,married,tertiary,no,18631,yes,no,cellular,7,may,253,no
5375,31,management,single,tertiary,no,5252,yes,no,unknown,23,may,390,no
28853,32,management,married,primary,yes,17613,yes,yes,cellular,30,jan,445,no
24642,48,management,married,secondary,no,16600,no,yes,cellular,17,nov,125,no
6538,47,technician,divorced,tertiary,no,7788,yes,yes,unknown,27,may,62,no
8714,41,technician,married,unknown,no,1393,yes,yes,unknown,4,jun,89,no
27297,56,retired,married,secondary,yes,11327,yes,yes,cellular,21,nov,220,no
34768,30,self-employed,married,tertiary,yes,10994,yes,no,cellular,6,may,401,no
25141,48,management,married,tertiary,no,9918,yes,yes,cellular,18,nov,76,no
6342,51,technician,married,secondary,no,15599,yes,no,unknown,27,may,272,no
16343,38,technician,married,primary,no,17539,no,yes,cellular,23,jul,222,no
26991,33,admin.,married,tertiary,no,8544,no,no,cellular,21,nov,134,no
15778,26,housemaid,single,primary,yes,5532,yes,yes,cellular,21,jul,222,no
26901,46,management,married,tertiary,yes,10620,yes,no,cellular,21,nov,45,no
7167,54,technician,married,secondary,no,2632,yes,no,unknown,29,may,202,no
6531,30,services,married,secondary,no,12175,no,no,unknown,27,may,349,no
935,54,blue-collar,married,secondary,no,6632,yes,no,unknown,7,may,799,no
32352,43,technician,married,secondary,no,6839,yes,no,cellular,16,apr,567,no
5917,42,blue-collar,married,secondary,no,14859,yes,no,unknown,26,may,115,no
38587,30,technician,married,secondary,no,10969,yes,no,cellular,15,may,124,no
6761,53,services,divorced,secondary,no,11785,yes,no,unknown,28,may,213,no
28583,51,management,married,tertiary,no,15878,no,no,cellular,29,jan,78,no
14776,52,services,married,secondary,no,6477,no,no,cellular,16,jul,135,no
22824,33,entrepreneur,married,tertiary,no,8134,yes,yes,cellular,25,aug,103,no
16822,35,entrepreneur,single,tertiary,no,14642,no,yes,cellular,24,jul,77,no
18415,48,management,married,secondary,no,11910,no,yes,cellular,31,jul,6,no
17905,47,admin.,single,secondary,no,798,yes,no,cellular,30,jul,528,no
4935,36,unemployed,married,secondary,no,11269,yes,yes,unknown,21,may,153,no
6075,36,blue-collar,married,secondary,no,10529,yes,no,unknown,26,may,102,no
2410,30,services,married,secondary,yes,13181,yes,no,unknown,13,may,117,no
5086,30,services,single,secondary,no,7671,yes,no,unknown,21,may,142,no
22827,35,technician,single,secondary,no,15534,no,no,cellular,25,aug,54,no
35920,58,retired,divorced,secondary,no,6182,yes,no,cellular,8,may,75,no
13005,33,technician,married,secondary,no,14208,no,no,cellular,7,jul,208,no
12766,43,technician,married,secondary,no,19628,no,no,cellular,7,jul,190,no
8379,32,services,married,secondary,yes,11025,yes,no,unknown,3,jun,159,no
35275,38,entrepreneur,married,primary,no,5601,yes,no,cellular,7,may,126,no
14129,56,management,married,tertiary,no,9685,yes,yes,cellular,11,jul,348,no
13481,43,technician,married,secondary,no,14391,yes,yes,cellular,9,jul,727,yes
15868,41,blue-collar,married,secondary,yes,3111,yes,yes,cellular,21,jul,251,no
38405,55,services,married,primary,no,5408,yes,no,cellular,15,may,265,no
1260,33,blue-collar,married,primary,yes,16327,yes,no,unknown,8,may,206,no
6436,38,technician,married,secondary,no,3905,yes,no,unknown,27,may,134,no
10752,31,technician,married,secondary,no,10277,yes,no,unknown,17,jun,638,no
27326,35,services,divorced,secondary,no,8319,yes,no,cellular,21,nov,47,no
6402,35,management,married,tertiary,no,13253,yes,yes,unknown,27,may,318,no
23312,43,technician,married,secondary,no,9893,yes,no,cellular,27,aug,125,no
6553,31,blue-collar,single,tertiary,no,11281,yes,no,unknown,27,may,42,no
32419,41,blue-collar,married,primary,no,4584,yes,no,cellular,16,apr,370,no
37136,32,technician,married,secondary,no,1538,yes,no,cellular,13,may,11,no
1741,29,blue-collar,single,primary,no,8192,yes,no,unknown,9,may,117,no
6991,33,admin.,married,secondary,yes,8631,yes,no,unknown,28,may,245,no
31371,41,services,single,secondary,no,22762,yes,yes,cellular,18,mar,147,yes
32236,37,management,single,tertiary,no,-898,yes,no,cellular,16,apr,240,no
39019,32,blue-collar,married,secondary,no,10206,yes,no,cellular,18,may,152,no
37014,57,retired,divorced,secondary,no,14608,yes,no,cellular,13,may,210,no
5762,41,blue-collar,married,secondary,yes,10897,yes,yes,unknown,26,may,374,no
3810,38,admin.,married,secondary,no,6176,no,no,unknown,16,may,317,no
27708,40,blue-collar,married,secondary,no,6960,yes,no,cellular,21,nov,280,no
17135,27,technician,single,secondary,no,8141,yes,no,cellular,25,jul,135,no
21442,52,services,divorced,primary,no,11155,no,no,cellular,18,aug,119,no
37277,35,services,single,secondary,no,14431,yes,yes,cellular,13,may,427,no
36813,52,blue-collar,married,primary,no,10281,yes,yes,cellular,12,may,161,no
21790,53,blue-collar,married,secondary,yes,870,no,no,cellular,19,aug,695,no
15027,36,management,married,tertiary,no,9882,yes,no,cellular,17,jul,106,no
33625,32,services,married,secondary,no,-1367,yes,yes,cellular,20,apr,18,no
5650,44,services,married,secondary,no,10663,yes,no,unknown,26,may,373,no
13067,33,entrepreneur,married,secondary,no,2108,yes,yes,cellular,8,jul,740,yes
5935,40,services,married,secondary,no,7116,yes,no,unknown,26,may,147,no
13447,53,blue-collar,married,secondary,no,6479,yes,no,cellular,9,jul,205,no
34652,55,services,married,secondary,no,14777,yes,yes,cellular,5,may,369,no
8759,28,admin.,single,secondary,no,8395,yes,no,unknown,4,jun,102,no
3775,35,blue-collar,married,secondary,no,21894,yes,no,unknown,16,may,754,no
6364,36,admin.,divorced,secondary,no,13471,yes,no,unknown,27,may,222,no
25915,41,management,married,tertiary,no,12696,yes,no,cellular,19,nov,12,no
27747,58,retired,married,tertiary,no,4287,no,yes,cellular,28,jan,145,no
7787,53,management,married,tertiary,no,10104,yes,no,unknown,30,may,509,no
12877,29,services,married,secondary,no,11699,no,no,cellular,7,jul,500,no
12947,47,blue-collar,married,secondary,yes,20322,yes,yes,cellular,7,jul,100,no
21907,50,technician,married,secondary,no,11324,no,no,cellular,20,aug,75,no
34646,48,admin.,married,secondary,no,22352,yes,no,cellular,5,may,325,no
34420,46,technician,married,tertiary,no,12291,yes,no,cellular,5,may,245,no
37702,50,blue-collar,married,secondary,no,11573,yes,no,cellular,14,may,877,no
