SeriousDlqin2yrs,NumberOfTime30_59DaysPastDueNotWorse,NumberOfTime60_89DaysPastDueNotWorse,NumberOfTimes90DaysLate,MonthlyIncome,DebtRatio
1,2,0,0,9120,0.802982129
0,0,0,0,2600,0.121876201
0,1,0,1,3042,0.085113375
0,0,0,0,3300,0.036049682
0,1,0,0,63588,0.024925695
0,0,0,0,3500,0.375606969
0,0,0,0,3500,0.209940017
0,0,0,0,23684,0.606290901
0,0,0,0,2500,0.30947621
0,0,0,0,6501,0.53152876
0,0,0,0,12454,0.298354075
1,3,1,3,13700,0.382964747
0,0,0,0,11362,0.209891754
0,0,0,0,8800,0.18827406
0,0,0,0,3280,0.527887839
0,0,0,0,333,0.065868263
0,0,0,0,12300,0.430046338
1,0,0,0,3000,0.475841386
0,0,0,0,2500,0.241103559
0,0,0,0,7916,0.085512189
0,0,0,0,2416,0.241621845
1,0,0,0,4676,1.595253368
0,0,0,0,8333,0.097672186
0,0,0,0,2500,0.042383047
0,0,0,0,3400,0.011761247
0,2,0,0,5500,0.436102527
0,1,0,0,4200,0.155201143
0,0,0,0,750,0.472703063
0,0,0,0,7000,0.313812313
0,2,0,0,2230,0.257731959
0,0,0,0,11000,0.073538769
0,3,0,0,4000,0.567858035
0,1,0,0,3400,0.134078212
0,0,0,0,1000,0.00999001
0,0,0,0,3500,0.808340474
0,1,0,0,5700,0.539554464
0,0,0,0,9250,0.048211004
0,0,0,0,3661,0.170125614
0,0,0,0,1,1687.5
0,0,0,0,16800,0.177787036
0,0,0,0,3133,0.011167837
0,0,0,0,1937,0.689370485
0,0,0,0,13000,0.393662026
0,0,0,1,6900,0.256339661
1,0,0,0,3000,0.824725092
0,0,0,0,5750,0.306381499
0,0,0,0,2231,0.008064516
0,0,0,0,13793,0.073147745
0,1,0,0,13000,0.016921775
0,0,0,0,3216,0.351258937
0,0,0,0,5813,0.261609907
0,0,0,0,7783,0.241135663
0,0,0,0,5600,0.00803428
