Age,Income,CCAvg,Mortgage,CD Account,Personal Loan
25,49,1.60,0,0,0
45,34,1.50,0,0,0
39,11,1.00,0,0,0
35,100,2.70,0,0,0
35,45,1.00,0,0,0
37,29,0.40,155,0,0
53,72,1.50,0,0,0
50,22,0.30,0,0,0
35,81,0.60,104,0,0
34,180,8.90,0,0,1
65,105,2.40,0,0,0
29,45,0.10,0,0,0
48,114,3.80,0,0,0
59,40,2.50,0,0,0
67,112,2.00,0,0,0
60,22,1.50,0,0,0
38,130,4.70,134,0,1
42,81,2.40,0,0,0
46,193,8.10,0,0,1
55,21,0.50,0,0,0
56,25,0.90,111,0,0
57,63,2.00,0,0,0
29,62,1.20,260,0,0
44,43,0.70,163,0,0
36,152,3.90,159,0,0
43,29,0.50,97,0,0
40,83,0.20,0,0,0
46,158,2.40,0,0,0
56,48,2.20,0,0,0
38,119,3.30,0,1,1
59,35,1.20,122,0,0
40,29,2.00,0,0,0
53,41,0.60,193,0,0
30,18,0.90,0,0,0
31,50,1.80,0,0,0
48,81,0.70,0,0,0
59,121,2.90,0,0,0
51,71,1.40,198,0,0
42,141,5.00,0,1,1
38,80,0.70,285,0,0
57,84,1.60,0,0,0
34,60,2.30,0,0,0
32,132,1.10,412,0,1
39,45,0.70,0,0,0
46,104,5.70,0,0,0
57,52,2.50,0,0,0
39,43,0.70,153,0,0
37,194,0.20,211,1,1
56,81,4.50,0,0,0
40,49,1.80,0,0,0
32,8,0.70,0,0,0
61,131,2.90,0,0,0
30,72,0.10,207,0,0
50,190,2.10,240,0,1
29,44,0.20,0,0,0
41,139,8.00,0,0,0
55,29,0.10,0,1,0
56,131,1.20,0,0,1
28,93,0.20,0,0,0
31,188,4.50,455,0,0
49,39,1.70,0,0,0
47,125,5.70,112,0,0
42,22,1.00,0,0,0
42,32,0.00,0,0,0
47,105,3.30,0,0,0
59,131,3.80,0,0,0
62,105,2.80,336,0,0
53,45,2.00,132,0,0
47,60,2.10,0,0,0
53,20,0.20,0,0,0
42,115,3.50,0,0,0
53,69,1.00,0,0,0
44,130,5.00,0,0,0
41,85,4.00,0,0,0
28,135,3.30,0,0,0
31,135,3.80,0,1,1
58,12,0.30,0,0,0
46,29,0.50,0,0,0
54,133,2.60,0,0,1
50,19,0.40,118,0,0
60,41,1.30,174,0,0
47,40,2.70,0,0,0
41,82,4.00,0,0,0
33,50,2.40,0,0,0
46,18,0.90,0,0,0
27,109,1.80,0,0,0
40,42,2.20,126,0,0
48,78,1.10,0,0,0
65,51,1.10,0,0,0
25,113,2.30,0,0,0
55,118,5.60,0,0,1
35,29,1.10,0,0,0
43,34,0.60,0,0,0
60,64,1.70,236,0,0
65,121,2.00,0,0,0
38,48,0.20,0,0,0
41,80,5.20,0,0,0
54,161,2.90,0,0,0
49,94,0.30,0,0,0
66,15,0.10,0,0,0
48,74,1.20,0,0,0
61,30,1.30,0,0,0
53,44,1.00,198,0,0
