y,default,age,balance,loan,day,duration,campaign,pdays,previous
0,0,30,1787,0,19,79,1,-1,0
0,0,33,4789,1,11,220,1,339,4
0,0,35,1350,0,16,185,1,330,1
0,0,30,1476,1,3,199,4,-1,0
0,0,59,0,0,5,226,1,-1,0
0,0,35,747,0,23,141,2,176,3
0,0,36,307,0,14,341,1,330,2
0,0,39,147,0,6,151,2,-1,0
0,0,41,221,0,14,57,2,-1,0
0,0,43,-88,1,17,313,1,147,2
0,0,39,9374,0,20,273,1,-1,0
0,0,43,264,0,17,113,2,-1,0
0,0,36,1109,0,13,328,2,-1,0
1,0,20,502,0,30,261,1,-1,0
0,0,31,360,1,29,89,1,241,1
0,0,40,194,1,29,189,2,-1,0
0,0,56,4073,0,27,239,5,-1,0
0,0,37,2317,0,20,114,1,152,2
0,0,25,-221,0,23,250,1,-1,0
0,0,31,132,0,7,148,1,152,1
0,0,38,0,0,18,96,2,-1,0
0,0,42,16,0,19,140,3,-1,0
0,0,44,106,0,12,109,2,-1,0
0,0,44,93,0,7,125,2,-1,0
0,0,26,543,0,30,169,3,-1,0
0,0,41,5883,0,20,182,2,-1,0
0,0,55,627,0,5,247,1,-1,0
0,0,67,696,0,17,119,1,105,2
0,0,56,784,1,30,149,2,-1,0
0,0,53,105,1,21,74,2,-1,0
1,0,68,4189,0,14,897,2,-1,0
0,0,31,171,0,27,81,3,-1,0
0,0,59,42,0,21,40,1,-1,0
1,0,32,2536,0,26,958,6,-1,0
1,0,49,1235,0,13,354,3,-1,0
0,0,42,1811,0,14,150,1,-1,0
1,0,78,229,0,22,97,1,-1,0
1,0,32,2089,0,14,132,1,-1,0
1,0,33,3935,0,6,765,1,342,2
0,0,23,363,0,30,16,18,-1,0
0,0,38,11971,0,17,609,2,101,3
0,0,36,553,0,11,106,2,-1,0
0,0,52,1117,0,13,365,1,-1,0
0,0,32,396,0,13,205,3,-1,0
0,0,32,2204,0,21,11,4,-1,0
0,0,34,872,0,7,105,2,-1,0
0,0,55,145,0,2,59,3,5,2
0,0,26,0,0,21,425,1,-1,0
0,1,32,-849,1,4,204,1,-1,0
1,0,61,4629,0,27,181,1,92,1
1,0,45,844,0,5,1018,3,-1,0
0,0,37,228,0,20,1740,2,-1,0
0,0,38,50,0,29,98,2,-1,0
1,0,34,1539,0,15,441,1,56,1
0,0,53,2231,0,14,272,3,-1,0
0,0,48,3064,0,15,159,2,-1,0
0,0,57,82,1,4,140,1,-1,0
0,0,33,2155,0,17,295,1,-1,0
0,0,36,101,1,26,314,1,-1,0
0,0,54,784,1,15,579,1,-1,0
0,0,41,-516,1,8,554,3,-1,0
0,0,63,415,0,7,323,1,-1,0
0,0,48,5887,0,13,227,2,-1,0
0,0,48,1355,0,4,134,2,-1,0
0,0,56,16873,0,7,223,1,-1,0
0,0,51,203,0,8,134,1,170,5
0,0,31,338,0,28,155,1,-1,0
0,0,29,444,0,21,130,4,-1,0
0,0,41,0,1,7,630,3,-1,0
0,0,32,360,0,19,164,2,-1,0
1,0,37,0,0,16,268,2,182,3
0,1,42,2,0,5,380,1,-1,0
0,0,31,6248,0,9,154,2,-1,0
0,0,41,412,0,3,154,5,-1,0
0,0,56,344,0,15,221,1,-1,0
0,0,54,3222,0,14,67,2,-1,0
0,0,41,174,0,14,367,2,297,1
0,0,40,591,1,14,87,6,-1,0
0,0,50,388,0,5,701,1,-1,0
0,0,40,219,0,17,204,2,196,1
1,0,27,451,0,16,652,1,-1,0
0,0,60,5,0,26,63,2,-1,0
0,0,28,177,1,6,150,1,-1,0
