Loan Status,Term,Current Loan Amount,Annual Income
1,0,441100,1378277
1,0,426184,1378277
1,0,614944,1378277
1,0,486618,1378277
1,0,538252,1378277
1,0,223300,1378277
1,0,590018,1378277
1,0,398222,1378277
1,0,240174,1378277
1,0,474694,1378277
1,0,539396,1378277
1,0,541640,1378277
1,0,215424,1378277
1,0,473418,1378277
1,0,139128,1378277
1,0,223432,1378277
1,0,411334,1378277
1,0,268532,1378277
1,0,244618,1378277
1,0,441056,1378277
1,0,108790,1378277
1,0,262152,1378277
1,0,269016,1378277
1,0,163988,1378277
1,0,141020,1378277
1,0,195822,1378277
1,0,265826,1378277
1,0,326106,1378277
1,0,346852,1378277
1,0,261646,1378277
1,0,280566,1378277
1,0,534864,1378277
1,0,764918,1378277
1,0,224378,1378277
1,0,216788,1378277
1,0,221012,1378277
1,0,780934,1378277
1,0,672254,1378277
1,0,674058,1378277
1,0,323334,1378277
1,0,221232,1378277
1,0,453816,1378277
1,0,308022,1378277
1,0,218174,1378277
1,0,765842,1378277
1,0,545160,1378277
1,0,152174,1378277
1,0,224642,1378277
1,0,269544,1378277
1,0,97768,1378277
1,0,469920,1378277
1,0,316360,1378277
1,0,329802,1378277
1,0,339636,1378277
1,0,311410,1378277
1,0,256498,1378277
1,0,397298,1378277
1,0,784784,1378277
1,0,219340,1378277
1,0,429220,1378277
1,0,211288,1378277
1,0,500192,1378277
1,0,447744,1378277
1,0,608190,1378277
1,0,773388,1378277
1,0,485782,1378277
1,0,333608,1378277
1,0,629860,1378277
1,0,448624,1378277
1,0,440572,1378277
1,0,501292,1378277
1,0,472670,1378277
1,0,211090,1378277
1,0,392128,1378277
1,0,490864,1378277
1,0,643764,1378277
1,0,301774,1378277
1,0,138094,1378277
1,0,81532,1378277
1,0,263868,1378277
1,0,195954,1378277
1,0,621302,1378277
1,0,215116,1378277
1,0,327074,1378277
1,0,377168,1378277
1,0,523006,1378277
1,0,327492,1378277
1,0,445500,1378277
1,0,261646,1378277
1,0,359612,1378277
1,0,531894,1378277
1,0,399366,1378277
1,0,173404,1378277
1,0,277816,1378277
1,0,214742,1378277
1,0,324984,1378277
1,0,174812,1378277
1,0,198286,1378277
1,0,506022,1378277
1,0,600050,1378277
1,0,369578,1378277
1,0,97922,1378277
1,0,221804,1378277
1,0,169840,1378277
1,0,225214,1378277
1,0,762388,1378277
1,0,533852,1378277
1,0,400796,1378277
1,0,344388,1378277
1,0,776776,1378277
1,0,473242,1378277
1,0,400862,1378277
1,0,377256,1378277
1,0,188914,1378277
1,0,694100,1378277
1,0,611072,1378277
1,0,153956,1378277
1,0,132396,1378277
1,0,436480,1378277
1,0,60478,1378277
1,0,352396,1378277
1,0,376552,1378277
1,0,321750,1378277
1,0,213884,1378277
1,0,269544,1378277
1,0,214566,1378277
1,0,622226,1378277
1,0,210254,1378277
1,0,110770,1378277
1,0,305162,1378277
1,0,459514,1378277
1,0,199628,1378277
1,0,540782,1378277
1,0,134816,1378277
1,0,708598,1378277
1,0,216700,1378277
1,0,436744,1378277
1,0,349778,1378277
1,0,221694,1378277
1,0,351604,1378277
1,0,142428,1378277
1,0,79200,1378277
1,0,336578,1378277
1,0,133958,1378277
1,0,345730,1378277
1,0,687522,1378277
1,0,316778,1378277
1,0,394306,1378277
1,0,382250,1378277
1,0,489808,1378277
1,0,85844,1378277
1,0,516956,1378277
1,0,223916,1378277
1,0,268532,1378277
1,0,550066,1378277
1,0,392524,1378277
1,0,474584,1378277
1,0,90794,1378277
1,0,132682,1378277
1,0,401544,1378277
1,0,324698,1378277
1,0,527758,1378277
1,0,538670,1378277
1,0,444664,1378277
1,0,608366,1378277
1,0,107866,1378277
1,0,521554,1378277
1,0,457798,1378277
1,0,56012,1378277
1,0,365222,1378277
1,0,220550,1378277
1,0,474034,1378277
1,0,759066,1378277
1,0,111298,1378277
1,0,787094,1378277
1,0,131670,1378277
1,0,258170,1378277
1,0,641388,1378277
1,0,354530,1378277
1,0,175450,1378277
1,0,612502,1378277
1,0,173404,1378277
1,0,758384,1378277
1,0,156310,1378277
1,0,263208,1378277
1,0,371866,1378277
1,0,541640,1378277
1,0,277816,1378277
1,0,302940,1378277
1,0,193776,1378277
1,0,396506,1378277
1,0,302940,1378277
1,0,378488,1378277
1,0,33088,1378277
1,0,279576,1378277
1,0,182798,1378277
1,0,775082,1378277
1,0,439604,1378277
1,0,471636,1378277
1,0,322916,1378277
1,0,443476,1378277
1,0,336798,1378277
1,0,303072,1378277
1,0,267036,1378277
1,0,186714,1378277
1,0,168872,1378277
1,0,344916,1378277
1,0,714208,1378277
1,0,322894,1378277
1,0,172656,1378277
1,0,360272,1378277
1,0,265188,1378277
1,0,174680,1378277
1,0,536492,1378277
1,0,71852,1378277
1,0,441540,1378277
1,0,120054,1378277
1,0,517330,1378277
1,0,174152,1378277
1,0,221826,1378277
1,0,443168,1378277
1,0,435754,1378277
1,0,717002,1378277
1,0,88990,1378277
1,0,335126,1378277
1,0,658042,1378277
1,0,107536,1378277
1,0,510532,1378277
1,0,242132,1378277
1,0,616682,1378277
1,0,331166,1378277
1,0,179784,1378277
1,0,664224,1378277
1,0,262900,1378277
1,0,110704,1378277
1,0,624756,1378277
1,0,259094,1378277
1,0,450824,1378277
1,0,179916,1378277
1,0,262108,1378277
1,0,336182,1378277
1,0,222992,1378277
1,0,258236,1378277
1,0,98868,1378277
1,0,457424,1378277
1,0,323642,1378277
1,0,224620,1378277
1,0,271414,1378277
1,0,358820,1378277
1,0,308770,1378277
1,0,371536,1378277
1,0,245058,1378277
1,0,517330,1378277
1,0,179102,1378277
1,0,219626,1378277
1,0,163658,1378277
1,0,534116,1378277
1,0,217074,1378277
1,0,395054,1378277
1,0,447832,1378277
1,0,157300,1378277
1,0,529540,1378277
1,0,409860,1378277
1,0,186736,1378277
1,0,134398,1378277
1,0,330440,1378277
1,0,195800,1378277
1,0,122694,1378277
1,0,751916,1378277
1,0,448184,1378277
1,0,219802,1378277
1,0,329538,1378277
1,0,449416,1378277
1,0,317944,1378277
1,0,258500,1378277
1,0,313544,1378277
1,0,445852,1378277
1,0,387178,1378277
1,0,42966,1378277
1,0,549406,1378277
1,0,224224,1378277
1,0,297000,1378277
1,0,182776,1378277
1,0,327866,1378277
1,0,195360,1378277
