CUSTOMER_ID,RISK_SEG1ENTATION,INCIDENT_SEVERITY,Real_sta_claim,AUTHORITY_CONTACTED,ANY_INJURY
A00003822,0,1,1,1,0
A00008149,0,2,1,0,1
A00003172,0,2,1,1,0
A00007572,0,0,1,0,0
A00008173,1,1,1,1,0
A00003571,1,1,1,0,0
A00007245,0,1,1,1,1
A00004301,0,2,1,1,0
A00004671,2,1,1,1,0
A00002020,0,1,1,3,0
A00007952,1,1,1,0,1
A00006313,2,1,1,0,1
A00003693,1,1,1,3,0
A00007988,0,2,1,0,1
A00005617,0,1,1,1,1
A00008033,0,0,1,1,0
A00007184,1,1,1,2,0
A00007426,0,1,1,1,0
A00009265,2,2,1,0,0
A00005314,1,2,1,3,1
A00004720,0,2,1,2,1
A00004728,0,1,1,0,0
A00001482,0,1,1,0,1
A00001719,1,2,1,3,0
A00000138,0,0,1,1,1
A00001186,2,0,1,1,1
A00006946,0,2,1,1,1
A00004112,0,0,1,1,0
A00004865,0,0,1,3,0
A00002422,1,1,1,1,0
A00003691,1,1,1,0,1
A00006915,0,0,1,0,1
A00009130,1,0,1,1,1
A00001581,0,0,1,2,1
A00007890,0,1,1,3,1
A00003536,1,0,1,0,1
A00008207,0,0,1,1,1
A00003348,1,2,1,1,0
A00000014,0,0,1,0,0
A00006283,2,2,1,2,0
A00003499,0,1,1,0,0
A00008902,2,0,1,1,0
A00002740,0,2,1,1,1
A00009289,0,0,1,0,1
A00007672,0,0,1,0,1
A00000956,1,0,1,3,1
A00000134,0,1,0,1,0
A00006528,0,0,0,3,0
A00008607,1,1,1,0,1
A00004589,1,0,1,0,0
A00002074,2,2,1,0,1
A00000481,0,2,1,2,0
A00009041,0,1,1,0,0
A00000859,0,0,1,0,1
A00000583,1,2,1,0,1
A00004719,0,2,1,0,1
A00002089,2,2,1,1,1
A00004245,0,2,1,0,1
A00009116,0,1,1,0,1
A00003178,0,2,1,3,1
A00005466,0,0,1,0,1
A00007369,2,2,1,2,0
A00002702,0,0,1,0,1
A00006128,0,1,1,1,1
A00001291,1,2,0,0,0
A00000261,1,1,1,1,1
A00008288,0,2,1,2,1
A00009904,1,2,1,2,1
A00007027,0,2,1,1,0
A00003818,1,1,1,2,1
A00005168,1,2,1,0,1
A00007705,0,2,1,1,0
A00000877,0,0,1,0,0
A00006847,1,2,1,0,0
A00005205,0,0,1,0,1
A00009078,2,1,1,0,1
A00000804,2,1,1,3,1
A00004234,1,1,1,0,1
A00002003,0,1,1,1,1
A00000193,1,1,1,0,1
A00009864,1,0,1,0,1
A00003565,0,1,1,0,0
A00006009,0,0,1,0,0
A00000670,0,0,1,3,0
A00002691,0,2,1,3,1
A00007463,0,1,1,1,0
A00007262,1,1,1,0,1
A00009910,0,0,1,3,0
A00005802,0,1,1,3,0
A00006267,0,1,1,1,1
A00002978,0,0,1,0,0
A00009572,0,0,1,2,1
A00007477,2,1,1,0,1
A00009513,0,2,1,1,1
A00009706,1,1,1,3,0
A00006240,0,2,1,0,0
A00000327,1,2,1,3,0
A00000762,1,2,1,1,1
A00008559,1,0,1,0,1
A00007283,2,1,1,0,1
A00007243,1,1,1,0,1
A00007330,0,2,1,0,0
A00009946,1,2,1,3,1
A00005849,0,0,1,1,1
A00008151,2,1,1,1,0
A00004744,0,1,1,0,1
A00007865,1,0,1,2,0
A00007480,0,1,1,0,1
A00001988,1,2,1,1,0
A00005653,1,0,1,0,1
A00007305,1,1,1,2,0
A00001480,0,1,1,0,1
A00004702,0,2,1,1,0
A00001148,0,2,0,1,0
A00002262,1,1,1,0,0
A00003291,0,1,1,0,1
A00008706,1,2,1,0,0
A00004966,0,1,1,1,1
A00001137,0,0,1,0,1
A00000013,0,0,1,2,0
A00000875,1,1,0,1,0
A00001718,1,1,1,1,1
A00002165,1,0,1,0,1
A00003051,1,1,1,1,0
A00009892,0,0,1,3,1
A00004106,2,2,1,3,1
A00005034,1,2,1,1,1
A00008198,0,0,1,2,0
A00000548,0,0,1,3,1
A00006478,0,1,1,1,0
A00000815,2,2,1,3,0
A00004559,0,0,1,3,1
A00002441,0,2,1,0,1
A00005228,1,1,1,2,1
A00008944,1,2,1,0,0
A00005880,2,2,1,0,0
A00002413,0,0,1,1,1
A00001701,2,0,1,2,0
A00000834,0,0,1,3,1
A00002597,1,2,1,0,1
A00007505,0,0,1,1,1
A00004164,1,1,1,3,1
A00005342,1,0,1,0,0
A00009809,0,1,1,3,1
A00002956,0,0,1,1,0
A00004012,1,0,1,3,1
A00000949,1,2,1,1,1
A00001650,0,0,1,2,1
A00005704,1,2,1,0,1
A00002776,1,2,1,0,1
A00002079,1,1,1,1,0
A00005318,1,1,1,3,1
A00007732,1,0,1,1,1
A00004626,0,2,1,1,0
A00000211,0,0,1,1,0
A00007341,1,2,1,0,1
A00008591,0,1,1,1,1
A00008052,1,2,1,0,1
A00008942,0,2,1,0,0
A00003149,0,2,1,3,1
A00005805,0,1,1,3,1
A00009530,2,0,1,3,1
A00006830,0,2,1,0,1
A00007160,0,1,1,0,0
A00001553,2,2,1,1,1
A00001756,0,0,1,0,0
A00002923,1,1,1,3,1
A00009221,2,2,1,2,0
A00003698,0,2,1,3,0
A00000190,0,0,1,3,1
A00002764,1,0,1,1,1
A00009590,1,1,1,3,0
A00006417,0,0,1,0,1
A00001503,0,0,1,0,0
A00003922,1,2,1,0,1
A00006105,0,0,1,2,0
A00003613,2,0,1,1,1
A00002426,1,1,1,0,1
A00006998,2,2,1,2,1
A00000105,1,2,1,3,0
A00001637,1,2,1,2,1
A00009848,2,2,1,0,0
A00009288,1,2,1,2,1
A00000247,0,0,1,0,1
A00002397,0,2,1,0,0
A00007490,1,1,1,0,0
A00003706,0,2,1,0,1
A00004550,0,2,1,0,1
A00003203,0,1,1,0,1
A00009674,1,2,1,2,0
A00003347,0,2,1,1,1
A00006280,0,0,1,0,1
A00009398,0,2,1,1,1
A00009338,1,0,1,0,1
A00007501,1,1,1,3,1
A00007905,2,2,1,0,1
A00008439,1,2,1,0,0
A00007899,0,0,1,1,1
A00006248,2,1,1,0,0
A00000192,2,2,1,1,1
A00002575,1,2,1,1,1
A00004102,2,0,1,0,1
A00007873,2,2,1,2,1
A00004611,1,1,1,0,1
A00006492,0,0,1,1,1
A00003531,0,0,1,2,1
A00000149,2,1,1,3,1
A00005638,1,1,1,3,1
A00006076,0,1,1,3,1
A00009990,1,2,1,2,1
A00002513,0,2,1,0,1
A00009734,0,0,1,0,0
A00005658,1,1,1,3,0
A00006794,2,2,1,0,1
A00001870,0,1,0,1,0
A00009682,2,0,1,2,1
A00009547,1,2,1,0,1
A00004091,2,2,1,3,1
A00004782,2,0,1,0,1
A00005061,1,1,1,0,1
