Account length,International plan,Voice mail plan,Customer service calls,Churn
128,0,1,1,1
107,0,1,1,1
137,0,0,0,1
84,1,0,2,1
75,1,0,3,1
118,1,0,0,1
121,0,1,3,1
147,1,0,0,1
141,1,1,0,1
74,0,0,0,1
168,0,0,1,1
95,0,0,3,1
62,0,0,4,1
85,0,1,1,1
93,0,0,3,1
76,0,1,1,1
73,0,0,1,1
147,0,0,0,1
77,0,0,5,0
130,0,0,0,1
132,0,0,0,1
174,0,0,3,1
57,0,1,0,1
54,0,0,3,1
20,0,0,0,1
142,0,0,2,1
75,0,0,1,1
172,0,0,3,1
12,0,0,1,0
57,0,1,0,1
72,0,1,3,1
78,0,0,1,1
136,1,1,3,1
149,0,0,1,1
98,0,0,3,1
135,1,1,0,0
34,0,0,2,1
160,0,0,3,1
64,0,0,1,1
59,0,1,2,1
142,0,0,2,1
97,0,1,1,1
52,0,0,3,1
60,0,0,1,1
96,0,0,2,1
87,0,0,5,0
81,0,0,1,1
141,0,0,1,1
121,0,1,3,0
125,0,0,1,1
174,0,0,1,1
116,0,1,2,1
149,0,1,3,1
38,0,0,2,1
40,0,1,2,1
43,1,0,0,1
113,1,0,0,1
126,0,0,1,1
150,0,0,4,0
138,0,0,3,1
162,0,1,0,1
147,0,0,3,1
90,0,0,1,1
50,0,0,1,1
82,0,0,0,0
144,0,0,4,0
70,0,0,1,1
144,0,0,1,1
116,1,0,3,1
55,0,1,3,1
70,0,1,1,1
106,0,0,2,0
94,0,0,4,0
111,0,0,1,1
74,0,1,2,1
128,0,0,1,0
82,0,0,1,1
80,0,0,1,1
78,0,0,3,1
90,0,0,3,1
104,0,0,1,1
99,0,0,4,1
120,0,0,1,0
98,0,1,4,1
135,0,0,0,1
122,0,0,1,1
95,0,0,4,1
93,0,1,1,1
157,0,0,3,1
120,0,0,1,1
103,0,0,2,1
98,0,0,4,1
125,0,0,1,1
36,1,1,0,0
64,0,0,1,1
74,0,0,1,0
112,0,1,2,1
46,0,0,1,1
41,0,1,0,1
121,0,0,3,1
193,0,0,1,1
130,0,0,2,1
85,0,0,1,1
162,0,0,4,0
61,0,1,4,0
92,0,0,2,1
131,0,1,3,1
90,0,0,3,1
78,0,0,1,1
82,0,0,4,1
163,0,0,1,1
91,1,0,3,1
75,0,1,5,1
91,0,0,3,1
127,0,1,1,1
113,0,1,2,1
110,0,0,1,1
120,0,1,0,1
157,0,1,3,1
103,0,0,1,1
117,1,0,2,0
140,0,0,3,1
83,1,0,1,1
145,0,1,2,1
113,0,0,1,1
56,0,0,1,1
96,0,0,5,1
151,0,0,0,1
83,0,0,0,0
139,0,1,0,1
115,0,1,1,1
87,0,0,0,1
141,0,0,0,1
141,0,1,3,1
62,0,0,1,1
146,0,0,1,1
92,0,1,2,1
185,0,1,1,1
148,0,0,1,1
94,0,1,1,1
68,0,0,1,1
179,0,0,0,1
94,0,0,2,1
62,0,0,0,1
116,0,0,3,1
70,0,0,3,1
94,1,1,4,1
126,0,0,5,0
67,0,1,2,1
19,0,0,2,1
170,1,0,3,1
73,0,0,1,1
