id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
381110,Male,25,1,11,1,1,2,35786,152,53,0
381111,Male,40,1,28,0,3,1,33762,7,111,0
381112,Male,47,1,28,0,3,1,40050,124,199,0
381113,Male,24,1,27,1,1,1,37356,152,187,0
381114,Male,27,1,28,1,1,2,59097,152,297,0
381115,Male,22,1,30,1,1,2,40207,152,266,0
381116,Female,51,1,37,1,3,2,40118,26,107,0
381117,Male,25,1,41,1,1,2,23375,152,232,0
381118,Male,42,1,41,0,3,1,2630,26,277,0
381119,Female,37,1,12,1,3,2,27124,124,133,0
381120,Male,40,1,7,1,3,2,2630,124,91,0
381121,Male,64,1,28,0,2,1,32051,124,254,0
381122,Female,23,1,46,1,1,2,27688,26,29,0
381123,Male,47,1,3,0,3,1,28739,124,22,0
381124,Female,55,1,48,0,3,1,2630,124,169,0
381125,Male,24,1,28,1,1,2,42261,26,270,0
381126,Male,25,1,24,0,1,1,42660,152,207,0
381127,Male,41,1,10,0,3,1,15006,124,141,0
381128,Male,26,1,28,1,1,2,46139,152,35,0
381129,Female,28,1,37,1,1,2,34907,152,293,0
381130,Female,26,1,15,1,1,2,33599,152,78,0
381131,Female,24,1,6,1,1,2,35885,152,177,0
381132,Female,21,1,45,0,1,1,33346,160,73,0
381133,Female,42,1,8,0,3,1,2630,26,270,0
381134,Male,58,1,28,0,3,1,41016,24,201,0
381135,Female,27,1,10,1,1,2,18806,152,107,0
381136,Female,21,1,46,1,1,2,29917,160,153,0
381137,Male,44,1,8,1,3,2,31197,124,141,0
381138,Female,40,1,28,1,3,2,45981,124,126,0
381139,Female,26,1,11,1,1,2,26686,152,230,0
381140,Female,70,1,8,0,3,1,36804,124,256,0
381141,Male,71,1,28,1,3,2,51563,13,113,0
381142,Female,64,1,46,1,3,2,47989,122,257,0
381143,Male,25,1,35,1,1,2,41680,152,288,0
381144,Female,24,1,24,0,1,1,24096,152,270,0
381145,Male,27,1,33,0,3,1,28010,26,273,0
381146,Male,24,1,50,1,1,2,37606,152,246,0
381147,Female,22,1,8,0,1,1,66667,160,118,0
381148,Male,22,1,6,1,1,2,25765,152,291,0
381149,Male,51,1,28,1,3,2,40224,26,198,0
381150,Female,45,1,28,0,3,1,36425,124,35,0
381151,Male,46,1,28,0,3,1,110611,122,204,0
381152,Female,23,1,24,1,1,2,2630,26,249,0
381153,Male,49,1,40,0,3,1,31233,26,129,0
381154,Male,38,1,35,0,3,1,45227,124,67,0
381155,Male,35,1,8,0,3,1,44473,26,11,0
381156,Male,20,1,8,1,1,2,34717,160,272,0
381157,Male,30,1,8,0,1,2,24180,152,168,0
381158,Male,54,1,30,0,3,1,23364,156,217,0
381159,Male,61,1,48,0,3,1,2630,124,32,0
381160,Female,53,1,41,0,3,1,48589,26,105,0
381161,Male,23,1,36,1,1,1,39313,151,221,0
381162,Male,23,1,15,1,1,2,39411,152,140,0
381163,Male,42,1,28,0,3,1,51844,124,126,0
381164,Male,24,1,21,1,1,2,30117,152,218,0
381165,Male,26,1,7,0,1,1,43937,152,260,0
381166,Male,23,1,28,0,1,1,40715,156,45,0
381167,Male,23,1,41,1,1,2,31585,152,246,0
381168,Female,24,1,23,1,1,2,30795,152,297,0
381169,Male,45,1,8,0,3,2,34610,124,198,0
381170,Male,25,1,16,1,1,2,2630,152,232,0
381171,Male,23,1,39,1,1,2,27183,152,16,0
381172,Female,40,1,35,0,3,1,32938,154,94,0
381173,Male,22,1,37,0,1,1,31550,152,60,0
381174,Male,25,1,8,1,1,2,39046,152,110,0
381175,Female,23,1,3,1,1,2,30504,152,234,0
381176,Female,50,1,46,1,3,2,29793,26,218,0
381177,Male,59,1,29,0,3,1,25826,26,244,0
381178,Female,23,1,24,0,1,1,25983,26,239,0
381179,Female,23,1,2,1,1,2,24145,151,255,0
381180,Male,62,1,8,0,3,2,32731,124,171,0
381181,Female,29,1,46,1,1,2,28803,152,163,0
381182,Male,45,1,8,0,3,1,55839,74,158,0
381183,Female,22,1,6,1,1,2,24057,152,192,0
381184,Female,24,1,47,1,1,1,41263,26,83,0
381185,Female,20,1,6,1,1,2,27058,160,198,0
381186,Male,36,1,28,0,3,1,43396,124,224,0
381187,Male,33,1,3,0,3,1,25982,124,24,0
381188,Male,65,1,3,0,3,1,29227,26,193,0
381189,Male,39,1,18,0,3,2,29337,124,26,0
381190,Female,44,1,46,1,3,2,16954,124,16,0
381191,Female,53,1,48,0,3,1,2630,26,272,0
381192,Male,20,1,28,0,3,1,47215,26,235,0
381193,Female,32,1,33,1,3,2,31251,156,195,0
381194,Female,21,1,4,0,3,1,22998,124,209,0
381195,Female,23,1,8,0,1,1,48697,152,220,0
381196,Male,26,1,39,1,1,2,58085,152,137,0
381197,Male,20,1,36,0,1,1,35374,160,271,0
381198,Male,38,1,27,0,3,1,24560,152,30,0
381199,Male,52,1,28,0,2,1,44300,26,268,0
381200,Male,24,1,35,1,1,2,36470,152,83,0
381201,Male,42,1,28,1,3,2,33415,26,243,0
381202,Male,39,1,39,0,3,1,34875,124,169,0
381203,Male,45,1,28,0,2,1,63701,26,130,0
381204,Female,26,1,27,0,1,1,2630,152,171,0
381205,Male,65,1,14,1,3,2,32270,26,137,0
381206,Male,35,1,36,0,3,2,36639,124,180,0
381207,Female,23,1,14,1,1,2,39308,152,226,0
381208,Female,20,1,8,0,1,1,40825,160,70,0
381209,Female,21,1,50,1,1,2,31878,160,283,0
381210,Female,60,1,28,0,3,1,39325,124,251,0
381211,Male,71,1,50,1,3,2,40432,26,49,0
381212,Female,51,1,28,0,3,1,49574,26,257,0
381213,Male,53,1,33,0,2,1,31243,124,241,0
381214,Male,57,1,31,0,3,1,2630,124,275,0
381215,Male,67,1,45,0,3,1,2630,152,113,0
381216,Female,25,1,32,0,1,1,2630,160,221,0
381217,Female,43,1,37,1,3,2,36336,152,241,0
381218,Male,38,1,47,0,3,1,23778,124,118,0
381219,Male,69,1,8,0,3,1,2630,157,231,0
381220,Male,74,1,28,1,3,1,28605,26,242,0
381221,Female,55,1,41,0,3,1,37187,26,290,0
381222,Male,21,1,46,1,1,2,27337,160,280,0
381223,Male,50,1,28,1,3,2,47657,124,85,0
381224,Female,49,1,33,0,3,1,2630,160,198,0
381225,Male,35,1,18,0,3,1,2630,124,41,0
381226,Male,52,1,10,0,2,1,29992,26,93,0
381227,Male,43,1,33,0,3,1,2630,157,250,0
381228,Female,20,1,16,0,1,1,22485,160,193,0
381229,Female,56,1,28,0,3,1,29200,122,146,0
381230,Female,25,1,44,1,1,2,26320,152,176,0
381231,Female,26,1,2,1,1,2,25808,152,135,0
381232,Female,30,1,47,0,3,1,30690,124,85,0
381233,Female,27,1,6,1,1,2,16457,160,186,0
381234,Male,39,1,28,0,3,1,60174,124,55,0
381235,Male,23,1,30,1,1,2,32924,152,13,0
381236,Female,23,1,3,0,1,1,27852,152,188,0
381237,Male,28,1,8,1,1,2,36920,152,24,0
381238,Female,21,1,28,1,1,2,42448,152,114,0
381239,Male,26,1,50,1,1,2,30115,152,160,0
381240,Female,21,1,17,1,1,2,23459,152,232,0
381241,Male,50,1,46,0,3,1,40641,124,63,0
381242,Female,28,1,29,1,1,2,40498,152,153,0
381243,Female,44,1,28,1,3,2,43151,124,175,0
381244,Female,23,1,5,0,1,1,21026,152,141,0
381245,Male,61,1,46,1,3,2,37953,26,55,0
381246,Male,46,1,46,0,3,1,36992,154,293,0
381247,Male,35,1,29,0,3,1,2630,157,232,0
381248,Female,25,1,6,1,1,2,19804,152,205,0
381249,Male,24,1,8,0,1,1,2630,152,123,0
