Loan_To_Value ratio,Driving_Flag,No_Of_PRI_ACCT,LOAN_DEFAULT,employment_status,,,,,,,,,
66.36,0,0,0,1,,,,,,,,,
51.6,0,0,0,1,,,,,,,,,
56.07,0,0,0,1,,,,,,,,,
74.7,0,0,0,1,,,,,,,,,
52.28,0,0,0,1,,,,,,,,,
34.19,0,0,0,1,,,,,,,,,
42.67,0,0,0,1,,,,,,,,,
34.68,0,0,0,1,,,,,,,,,
49.84,0,0,0,1,,,,,,,,,
74.99,0,0,0,1,,,,,,,,,
74.89,0,0,0,1,,,,,,,,,
73.99,0,0,0,1,,,,,,,,,
65.35,0,0,0,1,,,,,,,,,
60.83,0,0,0,1,,,,,,,,,
48.78,0,0,0,1,,,,,,,,,
62.61,0,0,0,1,,,,,,,,,
62.72,0,0,0,1,,,,,,,,,
51.35,0,0,0,1,,,,,,,,,
45.88,0,0,0,1,,,,,,,,,
70.61,0,0,0,1,,,,,,,,,
68.38,0,0,0,1,,,,,,,,,
18.57,0,0,0,1,,,,,,,,,
35.73,0,0,0,1,,,,,,,,,
54.15,0,0,0,1,,,,,,,,,
68.48,0,0,0,1,,,,,,,,,
72.37,0,0,0,1,,,,,,,,,
54.3,0,0,0,1,,,,,,,,,
39.4,0,0,0,1,,,,,,,,,
76,0,0,0,1,,,,,,,,,
62.61,0,0,0,1,,,,,,,,,
69.12,0,0,0,1,,,,,,,,,
69.76,0,0,0,1,,,,,,,,,
79.54,0,0,0,1,,,,,,,,,
54.33,0,0,0,1,,,,,,,,,
73.73,0,0,0,1,,,,,,,,,
73.61,0,0,0,1,,,,,,,,,
70.37,0,0,0,1,,,,,,,,,
62.28,0,0,0,1,,,,,,,,,
36.44,0,0,0,1,,,,,,,,,
66.22,0,0,0,1,,,,,,,,,
74.22,0,0,0,1,,,,,,,,,
57.92,0,0,0,1,,,,,,,,,
45.91,0,0,0,1,,,,,,,,,
56.38,0,0,0,1,,,,,,,,,
53.38,0,0,0,1,,,,,,,,,
55.81,0,0,0,1,,,,,,,,,
64.28,0,0,0,1,,,,,,,,,
74.29,0,0,0,1,,,,,,,,,
60.84,0,0,0,1,,,,,,,,,
62.7,0,0,0,1,,,,,,,,,
73.63,0,0,0,1,,,,,,,,,
74.09,0,0,0,1,,,,,,,,,
69.35,0,0,0,1,,,,,,,,,
51.48,0,0,0,1,,,,,,,,,
71.41,0,0,0,1,,,,,,,,,
51.97,0,0,0,1,,,,,,,,,
70.37,0,0,0,1,,,,,,,,,
